id,Year,Month,Day,Hour,Minute,Tsunami,Country,LocationName,Latitude,Longitude,FocalDepth,Magnitude,Deaths,Missing,Injuries,Damage,HousesDestroyed,HousesDamaged
34.0,1953.0,5.0,6.0,17.0,16.0,1836.0,CHILE,CHILE:  CHILLAN. CONCEPCION,-36.5,-72.5,60.0,7.6,9.0,0.0,26.0,500.0,0.0,0.0
35.0,1953.0,12.0,7.0,2.0,5.0,0.0,CHILE,CHILE:  NORTHERN,-22.1,-68.7,128.0,7.4,3.0,0.0,0.0,7.31,0.0,0.0
36.0,1955.0,4.0,19.0,20.0,24.0,1849.0,CHILE,CHILE,-30.0,-72.0,30.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
37.0,1957.0,7.0,29.0,17.0,15.0,1871.0,CHILE,CHILE:  ANTOFAGASTA,-23.5,-71.5,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,1960.0,5.0,21.0,10.0,2.0,1901.0,CHILE,CHILE:  CENTRAL,-37.872,-73.243,35.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0
39.0,1960.0,5.0,22.0,19.0,11.0,1902.0,CHILE,CHILE:  PUERTO MONTT. VALDIVIA,-38.143,-73.407,33.0,9.5,2000.0,0.0,3000.0,1000.0,58622.0,0.0
40.0,1960.0,11.0,1.0,8.0,45.0,1906.0,CHILE,CHILE:  CONCEPCION,-38.5,-75.1,55.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
41.0,1961.0,10.0,18.0,16.0,51.0,1926.0,CHILE,CHILE:  VALDIVIA. CURICO,-36.7,-73.0,15.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
42.0,1962.0,2.0,14.0,6.0,36.0,0.0,CHILE,CHILE:  CENTRAL,-37.8,-72.5,45.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1965.0,2.0,23.0,22.0,11.0,1965.0,CHILE,CHILE:  NORTHERN,-25.67,-70.63,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1965.0,3.0,22.0,22.0,56.0,1966.0,CHILE,CHILE:  CENTRAL,-31.81,-71.26,58.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1965.0,3.0,28.0,16.0,33.0,0.0,CHILE,CHILE:  CENTRAL,-32.4,-71.2,61.0,7.3,400.0,0.0,0.0,125.0,0.0,0.0
46.0,1965.0,10.0,3.0,16.0,14.0,1979.0,CHILE,CHILE:  SOUTHERN,-42.9,-75.13,28.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
47.0,1966.0,12.0,28.0,8.0,18.0,1984.0,CHILE,CHILE:  TALTAL. CATALINA,-25.5,-70.7,47.0,7.8,3.0,0.0,6.0,0.4,0.0,0.0
48.0,1967.0,11.0,15.0,21.0,32.0,1991.0,CHILE,CHILE:  NORTHERN,-28.78,-71.19,35.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0
49.0,1967.0,12.0,21.0,2.0,25.0,1994.0,CHILE,CHILE:  NORTHERN,-21.7,-69.5,33.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0
50.0,1970.0,6.0,14.0,0.0,0.0,2022.0,CHILE,CHILE:  SOUTHERN,-52.0,-73.8,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,1970.0,6.0,19.0,10.0,56.0,2023.0,CHILE,CHILE:  NORTHERN,-22.28,-70.55,44.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
52.0,1970.0,11.0,28.0,11.0,8.0,2030.0,CHILE,CHILE:  NORTHERN,-20.94,-69.81,33.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,1971.0,6.0,17.0,21.0,0.0,0.0,CHILE,CHILE:  CATALINA. ANTOFAGASTA,-25.5,-69.2,93.0,6.3,1.0,0.0,0.0,0.0,0.0,0.0
54.0,1971.0,7.0,9.0,3.0,3.0,2033.0,CHILE,CHILE:  CENTRAL,-32.5,-71.2,58.0,7.8,83.0,0.0,447.0,236.4,0.0,0.0
55.0,1972.0,6.0,8.0,18.0,53.0,2048.0,CHILE,CHILE:  CENTRAL,-30.5,-71.8,39.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
56.0,1972.0,12.0,29.0,4.0,51.0,2057.0,CHILE,CHILE:  CENTRAL,-30.6,-71.0,60.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0
57.0,1973.0,10.0,5.0,5.0,47.0,2062.0,CHILE,CHILE:  VALPARAISO. LA LIGUA. SANTIAGO,-32.5,-71.5,14.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
58.0,1974.0,8.0,18.0,10.0,44.0,2066.0,CHILE,CHILE:  LA UNION. VALDIVIA,-38.5,-73.4,36.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
59.0,1975.0,3.0,13.0,15.0,26.0,2074.0,CHILE,CHILE:  COQUIMBO. LA SERENA,-29.9,-71.3,4.0,6.9,2.0,0.0,25.0,0.0,0.0,0.0
60.0,1975.0,5.0,10.0,14.0,27.0,0.0,CHILE,CHILE:  CENTRAL,-38.18,-73.23,6.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1976.0,11.0,30.0,0.0,40.0,0.0,CHILE,CHILE:  POZO ALMONTE. OFICINA VICTORIA. ARICA,-20.52,-68.92,82.0,7.3,1.0,0.0,13.0,0.0,0.0,0.0
62.0,1978.0,8.0,3.0,18.0,11.0,0.0,CHILE,CHILE:  NORTHERN:  COPIAPO-TALTAI,-26.51,-70.54,58.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0
63.0,1981.0,10.0,16.0,3.0,25.0,0.0,CHILE,CHILE:  OFF CENTRAL COAST. LAS CRUCES,-33.134,-73.074,33.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0
64.0,1983.0,10.0,4.0,18.0,52.0,2149.0,CHILE,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,15.0,7.3,5.0,0.0,12.0,1.0,40.0,0.0
65.0,1985.0,3.0,3.0,22.0,47.0,2158.0,CHILE,CHILE:  CENTRAL COAST. SAN ANTONIO. VALPARAISO,-33.132,-71.708,40.0,8.0,180.0,0.0,2575.0,1500.0,0.0,0.0
66.0,1985.0,3.0,17.0,10.0,41.0,0.0,CHILE,CHILE:  VALPARAISO. VINA DEL MAR,-32.663,-71.551,33.0,6.6,1.0,0.0,0.0,0.0,0.0,0.0
67.0,1985.0,4.0,9.0,1.0,56.0,0.0,CHILE,CHILE:  NEAR CENTRAL COAST. SANTIAGO-VALPARAISO,-34.131,-71.618,38.0,7.5,2.0,0.0,0.0,0.0,0.0,0.0
68.0,1986.0,12.0,19.0,5.0,47.0,0.0,CHILE,CHILE:  CENTRAL. VALPARAISO,-33.071,-72.084,33.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0
69.0,1987.0,3.0,5.0,9.0,17.0,2169.0,CHILE,CHILE:  ANTOFAGASTA. ARICA,-24.388,-70.161,62.0,7.3,1.0,0.0,0.0,0.0,0.0,0.0
70.0,1987.0,8.0,8.0,15.0,48.0,0.0,CHILE,CHILE:  ARICA. IQUIQUE,-19.022,-69.991,70.0,6.9,5.0,0.0,112.0,1.0,1000.0,0.0
71.0,1988.0,2.0,5.0,14.0,1.0,2180.0,CHILE,CHILE:  TALTAL,-24.753,-70.433,37.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
72.0,1995.0,7.0,30.0,5.0,11.0,2249.0,CHILE,CHILE:  ANTOFAGASTA. CALAMA. MEJILLONES,-23.34,-70.294,46.0,8.0,3.0,0.0,58.0,1.66,115.0,0.0
73.0,1995.0,11.0,1.0,0.0,35.0,2255.0,CHILE,CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,20.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
74.0,1996.0,9.0,5.0,8.0,14.0,2266.0,CHILE,CHILE:  EASTER ISLAND REGION,-22.118,-113.436,10.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
75.0,1997.0,10.0,15.0,1.0,3.0,0.0,CHILE,CHILE:  PUEBLO NUEVO. COQUIMBO. LA CHIMBA,-30.933,-71.22,58.0,7.1,8.0,0.0,300.0,48.0,5000.0,15700.0
76.0,2002.0,1.0,14.0,15.0,36.0,0.0,CHILE,CHILE: NORTHERN: CUYA. HUARA. IQUIQUE. POZO ALMONTE,-19.384,-69.231,33.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
